address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken,,
cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,Blockdaemon,0.1,12,5786509,0.020838,1.77E+12,cosmosvaloper1nz3c4q40j8jyvg2hcljkwhe69872mnllf7v9xh,5970.5,6135,6043,0.972778421,11,,,
cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,CloudByte,0.05,13,5621293,0.020243,1.77E+12,cosmosvaloper1jmykcq8gylmy5tgqtel4xj4q62fdt49sl584xd,5973,6126,6040,0.974668874,73,,,
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,Chorus One,0.075,14,5467647,0.01969,1.77E+12,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,5973,6134,6046,0.973370824,63,,,
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,P2Porg,0.08,15,5343513,0.019242,1.77E+12,cosmosvaloper1yw5s259jkcg0jzmh7sce29uk0lqqw2ump7578p,5976,6137,6049,0.97338403,54,,,
cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,Figment,0.09,16,4875356,0.017557,1.77E+12,cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,5973,6135,6046,0.973205425,48,,,
cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,Informal Systems,0.05,18,4242475,0.015278,1.77E+12,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,5976,6139,6051,0.973062304,73,,,
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,GAME,0.05,19,3978407,0.014327,1.77E+12,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,5985,6141,6054,0.974231913,73,,,
cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,Nansen Stake to Stack Points,0.05,20,3913857,0.014094,1.77E+12,cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,5985,6138,6052,0.974719101,73,,,
cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,Keplr,0.05,21,3727187,0.013422,1.77E+12,cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,5986,6140,6054,0.974562273,73,,,
cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,NO Fee to 2025 meleaxyz,0.05,22,3181939,0.011458,1.77E+12,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,5980,6137,6050,0.974049587,73,,,
cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,Sikka,0.05,23,3125110,0.011254,1.77E+12,cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,5975,6142,6050,0.972396694,73,,,
cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,Imperatorco,0.05,24,2855148,0.010282,1.77E+12,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,5970,6130,6045,0.973531844,73,,,
cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,Provalidator,0.05,25,2671183,0.009619,1.77E+12,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,5954,6151,6036,0.967362492,73,,,
cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,OKXEarn,0.05,26,2651150,0.009547,1.77E+12,cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,5967,6129,6044,0.973196559,73,,,
cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,Kiln legacy please redelegate,0.08,27,2513439,0.009051,1.77E+12,cosmosvaloper19f0w9svr905fhefusyx4z8sf83j6et0g9l5yhl,5973,6143,6051,0.97190547,54,,,
cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,Swiss Staking,0.05,28,2348417,0.008457,1.77E+12,cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,5971,6137,6047,0.972548371,73,,,
cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,POSTHUMAN StakeDrop,0.05,29,2200570,0.007924,1.77E+12,cosmosvaloper1a37ze3yrr2y9nn98l6frhjskmufvd40cpyd0gq,5970,6145,6048,0.971064815,73,,,
cosmosvaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56fz4sdg3,BouBouNode,0.061,30,2125102,0.007653,1.77E+12,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,5976,6140,6049,0.972888081,70,,,
cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,Binance Staking,0.05,31,2109935,0.007598,1.77E+12,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,5975,6138,6049,0.973053397,73,,,
cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,PRO Delegators,0.05,32,2045859,0.007367,1.77E+12,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,5970,6133,6045,0.973035567,73,,,
cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,Stakecito,0.05,33,1898940,0.006838,1.77E+12,cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,5970,6137,6047,0.972383,73,,,
cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,CoinoneNode,0.1,34,1863418,0.00671,1.77E+12,cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,5986,6141,6053,0.974392863,11,,,
cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,iqlusion,0.1,35,1733656,0.006243,1.77E+12,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,5971,6131,6047,0.973540599,11,,,
cosmosvaloper1hmd535f69t3x262m6s9wc6jd0dmel2zevhyuhm,PRYZM StakeDrop,0.2,36,1648999,0.005938,1.77E+12,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,5977,6139,6050,0.97322314,5,,,
cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,Citadelone,0.05,37,1644524,0.005922,1.77E+12,cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,5971,6144,6047,0.971390772,73,,,
cosmosvaloper19f0w9svr905fhefusyx4z8sf83j6et0g9l5yhl,NodeStake,0.05,39,1561758,0.005624,1.77E+12,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,5970,6129,6046,0.973701621,73,,,
cosmosvaloper1k6e7l0lz497l8njqjxpd3g4wlkdfwe93uqf03k,Trust Nodes,0.1,40,1493823,0.005379,1.77E+12,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,5970,6139,6046,0.972047635,11,,,
cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,StakeLabzone,0.05,41,1385593,0.00499,1.77E+12,cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,5971,6136,6047,0.972713742,73,,,
cosmosvaloper1wrx0x9m9ykdhw9sg04v7uljme53wuj03aa5d4f,Meria,0.05,42,1379711,0.004968,1.77E+12,cosmosvaloper1wrx0x9m9ykdhw9sg04v7uljme53wuj03aa5d4f,5972,6144,6050,0.971570248,73,,,
cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,Factor,0.05,43,1349331,0.004859,1.77E+12,cosmosvaloper1e859xaue4k2jzqw20cv6l7p3tmc378pc3k8g2u,5975,6133.5,6047,0.973788656,73,,,
cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,LavenderFive Nodes,0.05,44,1166199,0.0042,1.77E+12,cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,5972,6137,6046,0.972709229,73,,,
cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,Stakelyio,0.05,45,1154628,0.004158,1.77E+12,cosmosvaloper1nlfrwx5t3mm3cuqqkvjv6jv24m7s2z5utzfe8s,5974,6147,6047,0.971390772,73,,,
cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6,Kahuna,0.05,46,1121439,0.004038,1.77E+12,cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,5973,6138,6046,0.972709229,73,,,
cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,Coinbase Custody,0.2,47,1050490,0.003783,1.77E+12,cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,5970,6143,6046,0.97138604,5,,,
cosmosvaloper1gah0q9gqypnr7ufzg0dcda3k6v8qp4ceddn8fs,Enigma,0.05,48,973728,0.003506,1.77E+12,cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,5972,6140,6049,0.972226814,73,,,
cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,HighStakesch Daily Airdrops,0.05,49,961683,0.003463,1.77E+12,cosmosvaloper1gah0q9gqypnr7ufzg0dcda3k6v8qp4ceddn8fs,5970,6139,6047,0.972052257,73,,,
cosmosvaloper1symf474wnypes2d3mecllqk6l26rwz8mfjqdus,BlockHunters,0.05,50,945713,0.003406,1.77E+12,cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,5976,6141,6050,0.972727273,73,,,
cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,Twinstake,0.08,51,929710,0.003348,1.77E+12,cosmosvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wxxp9gd,5969,6131,6043,0.973192123,54,,,
cosmosvaloper1yw5s259jkcg0jzmh7sce29uk0lqqw2ump7578p,CEXIO Validator,0.05,52,835227,0.003008,1.77E+12,cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,5972,6141,6048,0.972056878,73,,,
cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,Ubik Capital,0.05,53,830078,0.002989,1.77E+12,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,5969,6137,6047,0.972217629,73,,,
cosmosvaloper144xwxcrlntp4wjadhrylzc6p3vdzscyedn70nu,DKCMC,0.05,54,800143,0.002881,1.77E+12,cosmosvaloper13p5ckpmc9g2v8ez5qsxs00wadqvcc7q0qheh26,5977,6155.5,6051.5,0.970503181,73,,,
cosmosvaloper18m9wncg0w74vusm4xu0mk6ha2lpdrqq7c9cjq3,TheCybernetics,0.05,55,790769,0.002848,1.77E+12,cosmosvaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qkrka4zk,5965,6122,6036,0.973989397,73,,,
cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,ShapeShift DAO,0.1,56,774144,0.002788,1.77E+12,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,5968.5,6137,6042,0.972111883,11,,,
cosmosvaloper1hjadhj9nqzpye2vkmkz4thahhd0z8dh3udhq74,Stake Shark,0.1,57,754455,0.002717,1.77E+12,cosmosvaloper14upntdx8lf0f49t987mj99zksxnluanvu6x4lu,5970,6156,6050,0.969256198,11,,,
cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,Simply Staking,0.1,58,735105,0.002647,1.77E+12,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,5966,6140.5,6038,0.971099702,11,,,
cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,CryptoCrew Validators,0.05,59,644224,0.00232,1.77E+12,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,5968,6142,6046,0.971220642,73,,,
cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,Smart Stake,0.05,60,633820,0.002282,1.77E+12,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,5961.5,6145.5,6041,0.969541467,73,,,
cosmosvaloper1nz3c4q40j8jyvg2hcljkwhe69872mnllf7v9xh,Interstellar,0.05,61,632686,0.002278,1.77E+12,cosmosvaloper1gn4ugadhkdwse6ayt7q8ekh0d0p2spw7duwlua,5981,6152,6050,0.971735537,73,,,
cosmosvaloper1nesedjyngslkvgg8jxy6nuy6r4g6ty0fdk3yky,Leap Wallet,0.05,62,611028,0.0022,1.77E+12,cosmosvaloper1xwazl8ftks4gn00y5x3c47auquc62ssuqlj02r,5978,6148,6044,0.971872932,73,,,
cosmosvaloper1crqm3598z6qmyn2kkcl9dz7uqs4qdqnr6s8jdn,Coinbase,0.08,63,604789,0.002178,1.77E+12,cosmosvaloper18m9wncg0w74vusm4xu0mk6ha2lpdrqq7c9cjq3,5970,6149,6049,0.970408332,54,,,
cosmosvaloper1e4vye322gkjx8n85jgcclnc7nvdvu82axnr5ll,Binary Builders,0.05,64,604444,0.002177,1.77E+12,cosmosvaloper1k6e7l0lz497l8njqjxpd3g4wlkdfwe93uqf03k,5974,6145,6048,0.97172619,73,,,
cosmosvaloper1hkqejlyrj9h8knms9hwvrnp9xhqvjqlseh06vq,cosmosrescue,0.05,65,600227,0.002161,1.77E+12,cosmosvaloper1e4vye322gkjx8n85jgcclnc7nvdvu82axnr5ll,5970,6141,6046,0.971716838,73,,,
cosmosvaloper1fs0vl7jem78pmhladkludtkun3cgkrwkt8czur,Bunkerstakeio,0.1,66,569985,0.002053,1.77E+12,cosmosvaloper1hmd535f69t3x262m6s9wc6jd0dmel2zevhyuhm,5971,6141,6047,0.971886886,11,,,
cosmosvaloper1a37ze3yrr2y9nn98l6frhjskmufvd40cpyd0gq,ECO Stake REStakeapp,0.05,67,569105,0.002049,1.77E+12,cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,5968,6139,6047,0.971721515,73,,,
cosmosvaloper1nuhls0wyf8slhmuasha5pz0u89jrf9nnugq8ak,Golden Ratio Staking,0.05,68,558089,0.00201,1.77E+12,cosmosvaloper1hkqejlyrj9h8knms9hwvrnp9xhqvjqlseh06vq,5968,6141,6046,0.97138604,73,,,
cosmosvaloper1jst8q8flpn94u9uvkpae8mrkk3a5pjhxx529z2,Node Guardians,0.05,69,547254,0.001971,1.77E+12,cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,5971,6139.5,6048,0.97213955,73,,,
cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,Forbole,0.095,70,547146,0.00197,1.77E+12,cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,5969,6153,6049,0.969581749,47,,,
cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,MANTRA,0.05,71,531691,0.001915,1.77E+12,cosmosvaloper1et77usu8q2hargvyusl4qzryev8x8t9wwqkxfs,5971,6134,6040,0.973013245,73,,,
cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,Stakin,0.05,72,530640,0.001911,1.77E+12,cosmosvaloper1symf474wnypes2d3mecllqk6l26rwz8mfjqdus,5963,6136.5,6044,0.971293845,73,,,
cosmosvaloper14yncgrhz5t0j6p9yfm0eht65ltter2kqwkn6dc,Quasar,0.05,73,523374,0.001885,1.77E+12,cosmosvaloper15uarq305pfjftjv532jakjx0p52zflzxfr8e42,5972,6150,6043.5,0.970546869,73,,,
cosmosvaloper18s3k8dt73e28rraqk70u9xwtv9wlav83n5mqjx,Colossus,0.1,74,516089,0.001858,1.77E+12,cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,5973,6134.5,6047,0.973292542,11,,,
cosmosvaloper1ukpah0340rx7k3x2njnavwyjv6pfpvn632df9q,IcyCRO,0.05,75,508872,0.001832,1.77E+12,cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6,5971,6134,6045,0.973035567,73,,,
cosmosvaloper1nlfrwx5t3mm3cuqqkvjv6jv24m7s2z5utzfe8s,CroutonDigital,0.05,76,495694,0.001785,1.77E+12,cosmosvaloper1nesedjyngslkvgg8jxy6nuy6r4g6ty0fdk3yky,5973.5,6141,6045,0.97229115,73,,,
cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,0basevc,0.05,78,472047,0.0017,1.77E+12,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,5971.5,6141,6045,0.971960298,73,,,
cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,01node,0.05,79,454689,0.001637,1.77E+12,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,5969,6132,6044,0.973031105,73,,,
cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,InfStones,0.1,80,442150,0.001592,1.77E+12,cosmosvaloper1ddle9tczl87gsvmeva3c48nenyng4n56nghmjk,5970.5,6132.5,6045,0.973200993,11,,,
cosmosvaloper1rxvkwfw3467nxgs6r7yav6cnygkjzkkc2defr6,Cryptostakecom,0.05,81,439001,0.001581,1.77E+12,cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,5964,6140,6045,0.970885029,73,,,
cosmosvaloper1fsg635n5vgc7jazz9sx5725wnc3xqgr7awxaag,Crosnest,0.05,82,429076,0.001545,1.77E+12,cosmosvaloper1xym2qygmr9vanpa0m7ndk3n0qxgey3ffzcyd5c,5972,6133.5,6040,0.973261589,73,,,
cosmosvaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492ms63vn,Oldcat airdrop DHK every month,0.05,83,403879,0.001454,1.77E+12,cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,5972,6142,6046,0.971882236,73,,,
cosmosvaloper17w8wc8y2jg2fjnkfxfw8z7a84qtuvyrgd89hm4,Dora Factory PGS,0.05,84,399759,0.00144,1.77E+12,cosmosvaloper1hjadhj9nqzpye2vkmkz4thahhd0z8dh3udhq74,5971,6144,6046,0.97138604,73,,,
cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,Stir,0.05,85,393014,0.001415,1.77E+12,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,5976,6141,6050,0.972727273,73,,,
cosmosvaloper1yfnaup5wa3vdzx3wx9auhvzl85saqj37tqxqnu,Moonlet,0.05,86,381951,0.001375,1.77E+12,cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,5971,6138,6047,0.972383,73,,,
cosmosvaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapvtfc9y5,WeStaking,0.05,88,366507,0.00132,1.77E+12,cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,5968,6125,6043,0.974019527,73,,,
cosmosvaloper160794m2vw5yu2dvmsw8lcjh33ur26myjxurm4n,biglazycatcom,0.05,89,355379,0.00128,1.77E+12,cosmosvaloper1w3v6jtyk7y92rzv0k0jvkcwwt4xc0fta4acu07,5969,6143,6045,0.971215881,73,,,
cosmosvaloper1ddle9tczl87gsvmeva3c48nenyng4n56nghmjk,Vitwit Previously Witval,0.05,90,335627,0.001209,1.77E+12,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,5972,6142,6045,0.971877585,73,,,
cosmosvaloper1e859xaue4k2jzqw20cv6l7p3tmc378pc3k8g2u,Citizen Web3,0.1,91,333579,0.001201,1.77E+12,cosmosvaloper1aewyh4gtvayx6v7w592jdfylawk4rsu9tfvfgm,5976,6127,6046,0.97502481,11,,,
cosmosvaloper106yp7zw35wftheyyv9f9pe69t8rteumjrx52jg,BronBro 100 Slashprotected,0.05,92,329694,0.001187,1.77E+12,cosmosvaloper144xwxcrlntp4wjadhrylzc6p3vdzscyedn70nu,5972,6143,6047,0.971721515,73,,,
cosmosvaloper1de7qx00pz2j6gn9k88ntxxylelkazfk3g8fgh9,Cosmic Validator 100 Uptime Autocompound,0.1,93,320530,0.001154,1.77E+12,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,5966,6135,6041,0.972024499,11,,,
cosmosvaloper1aewyh4gtvayx6v7w592jdfylawk4rsu9tfvfgm,Silk Nodes,0.05,94,320156,0.001153,1.77E+12,cosmosvaloper1lrzxwu4dmy8030waevcpft7rpxjjz26cpzvumd,5972,6138,6045,0.972539289,73,,,
cosmosvaloper10unx6s0cdqntvrumd5hs07rgd5ytcztqh8etw6,GATA HUB,0.05,95,312210,0.001124,1.77E+12,cosmosvaloper1nuhls0wyf8slhmuasha5pz0u89jrf9nnugq8ak,5967,6136,6043,0.972033758,73,,,
cosmosvaloper1gf4wlkutql95j7wwsxz490s6fahlvk2s9xpwax,Stakewollecom 100 Insurance,0.05,96,307392,0.001107,1.77E+12,cosmosvaloper1v69lzl909kje64k8vae24uytpxcnpxgullz2dx,5957,6146,6044.5,0.968731905,73,,,
cosmosvaloper19ecn7ljwp6el2pc5lldyauwv05ufwut9mm38r5,WhisperNode,0.05,97,303388,0.001093,1.77E+12,cosmosvaloper1z96p06tf6pqeca9gatv8h9hp83z2ng4l6erxj4,5973,6131,6045.5,0.973864858,73,,,
cosmosvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wxxp9gd,Finality,0.05,98,297902,0.001073,1.77E+12,cosmosvaloper1rxvkwfw3467nxgs6r7yav6cnygkjzkkc2defr6,5970,6146,6048,0.970899471,73,,,
cosmosvaloper10jzj3jjd3frna0ay08sh4zu4fpy957s49jkk7m,Onbloc Node,0.09,99,296837,0.001069,1.77E+12,cosmosvaloper1peu7wekuffy07ex0eejs43gepcqsux4xm4qqjh,5925,6122.5,6026,0.967225357,48,,,
cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,Blockpower,0.05,100,284043,0.001023,1.77E+12,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,5970,6140,6043,0.971868277,73,,,
cosmosvaloper1jmykcq8gylmy5tgqtel4xj4q62fdt49sl584xd,Blocks United blocksunitedcom,0.05,101,262807,0.000946,1.77E+12,cosmosvaloper1crqm3598z6qmyn2kkcl9dz7uqs4qdqnr6s8jdn,5971,6129,6043,0.973854046,73,,,
cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,KalpaTech,0.1,103,257104,0.000926,1.77E+12,cosmosvaloper1fun809ksxh87nzf88yashp9ynjz6xkscrtvzvw,5983,6135,6046,0.974859411,11,,,
cosmosvaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qkrka4zk,Nodeify,0.05,104,254148,0.000915,1.77E+12,cosmosvaloper1fs0vl7jem78pmhladkludtkun3cgkrwkt8czur,5969,6134,6046,0.972709229,73,,,
cosmosvaloper1jx7uhnrg8pylqydtxwykc288mzh24866emytpa,Sygnum,0.1,105,253268,0.000912,1.77E+12,cosmosvaloper1yfnaup5wa3vdzx3wx9auhvzl85saqj37tqxqnu,5964,6142,6048,0.970568783,11,,,
cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,MultiChain ventures,0.1,106,234315,0.000844,1.77E+12,cosmosvaloper18s3k8dt73e28rraqk70u9xwtv9wlav83n5mqjx,5954,6131,6040,0.970695364,11,,,
cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,IRISNET,0.09,107,230000,0.000828,1.77E+12,cosmosvaloper160794m2vw5yu2dvmsw8lcjh33ur26myjxurm4n,5965,6122,6041,0.974010925,48,,,
cosmosvaloper1sdz4rc95vnzh2f54sacec50vjxnmwdakfym4vh,Chill Validation,0.05,108,229609,0.000827,1.77E+12,cosmosvaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492ms63vn,5966.5,6137,6042,0.971780867,73,,,
cosmosvaloper1xwazl8ftks4gn00y5x3c47auquc62ssuqlj02r,jabbey,0.05,110,222492,0.000801,1.77E+12,cosmosvaloper14yncgrhz5t0j6p9yfm0eht65ltter2kqwkn6dc,5969,6131,6044,0.973196559,73,,,
cosmosvaloper1gxju9ky3hwxvqqagrl3dxtl49kjpxq6wlqe6m5,Vortexlive,0.1,111,222038,0.0008,1.77E+12,cosmosvaloper1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxhtscmp,5966,6143,6044,0.970714758,11,,,
