address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
shentuvaloper1yauamh6kkusm77l20md8xgl4zve6hqmlhxpx2n,Validation Cloud,0.1,11,1000003,0.022082,1.77E+12,shentuvaloper1yauamh6kkusm77l20md8xgl4zve6hqmlhxpx2n,5719,5825,5765,0.981613183,71,
shentuvaloper1ymt39v2qeegxtudnx7gyrjacj69uf4k023yt5m,Skyline,0.05,12,947344,0.020919,1.77E+12,shentuvaloper1ymt39v2qeegxtudnx7gyrjacj69uf4k023yt5m,5718,5821,5763,0.982127364,94,
shentuvaloper1yhxsary5g7aquzp6d7lr7uvmtr90pu0ny95k3v,TTT VN,0.1,13,825552,0.018229,1.77E+12,shentuvaloper1yhxsary5g7aquzp6d7lr7uvmtr90pu0ny95k3v,5721,5825,5765,0.981960104,71,
shentuvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4psfezn0,polkachucom,0.01,14,694331,0.015332,1.77E+12,shentuvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4psfezn0,5720,5825,5764,0.981783484,107,
shentuvaloper1qy7jncf45lluxaya5jaxf9r284jnmzz5vkxzea,Stakewollecom Autocompound,0.1,15,530770,0.01172,1.77E+12,shentuvaloper1qy7jncf45lluxaya5jaxf9r284jnmzz5vkxzea,5719,5827,5765,0.981266262,71,
shentuvaloper1wt9lh4zqe8qqe7azc943l0cyn2kzwk3p4dm57a,stakelyio,0.09,16,497106,0.010977,1.77E+12,shentuvaloper1wt9lh4zqe8qqe7azc943l0cyn2kzwk3p4dm57a,5718,5823,5763,0.981780323,89,
shentuvaloper1xv6jr3mdu32rukec5af34cylmmw9r84vz23dnc,Stakin,0.2,17,476058,0.010512,1.77E+12,shentuvaloper1xv6jr3mdu32rukec5af34cylmmw9r84vz23dnc,5718,5823,5763,0.981780323,4,
shentuvaloper169zcqjmz5cejx4cm00g9mntn8xvuca86g9ph6j,InfStones,0.2,18,359790,0.007945,1.77E+12,shentuvaloper169zcqjmz5cejx4cm00g9mntn8xvuca86g9ph6j,5718,5827.5,5764,0.981002776,4,
shentuvaloper1l5zz0v9ss3klrmga49uxha7f0fmpxmjx8kv6xy,HighStakesch Stake for Airdrop,0.1,19,358406,0.007914,1.77E+12,shentuvaloper1l5zz0v9ss3klrmga49uxha7f0fmpxmjx8kv6xy,5720,5828,5765,0.981266262,71,
shentuvaloper1la3trfg35deqhp6srzq7zjpj6mgkvk6md3m65v,stakesystems,0.2,20,348317,0.007691,1.77E+12,shentuvaloper1la3trfg35deqhp6srzq7zjpj6mgkvk6md3m65v,5718,5826,5763,0.981259761,4,
shentuvaloper1rk35hmly37qk672dknfq4x28ucd7jeq9r4jr5t,ByteVariety,0.2,22,320232,0.007071,1.77E+12,shentuvaloper1rk35hmly37qk672dknfq4x28ucd7jeq9r4jr5t,5722,5830,5768,0.981276006,4,
shentuvaloper16lhapna7nfm0j3pnwt7tn4lxtx3q7hs4qe6r70,Crypto Lion,0.01,23,307885,0.006799,1.77E+12,shentuvaloper16lhapna7nfm0j3pnwt7tn4lxtx3q7hs4qe6r70,5719,5825,5764,0.981609993,107,
shentuvaloper14wg0p9jlgp6vra7p4rw9vlyh5ra5svplqcmjtc,BlueStake 100 insurance,0.1,24,307083,0.006781,1.77E+12,shentuvaloper14wg0p9jlgp6vra7p4rw9vlyh5ra5svplqcmjtc,5719,5826,5764,0.981436502,71,
shentuvaloper1yvleuxlmg8vgmsczlqgufgkwj2p5x29lnmamkg,Panthea EU,0.2,25,303651,0.006705,1.77E+12,shentuvaloper1yvleuxlmg8vgmsczlqgufgkwj2p5x29lnmamkg,5719,5827,5766,0.981269511,4,
shentuvaloper1u05xu47w2hemqrpejn3dsxg7nqywx068q34y9z,STAVR REStake ON,0.2,27,280668,0.006198,1.77E+12,shentuvaloper1u05xu47w2hemqrpejn3dsxg7nqywx068q34y9z,5719,5829,5765,0.980919341,4,
shentuvaloper19q32eg8lu36xyqe3rfp85t6jwnymrjnsjxw8q0,ushakov,0.18,28,268590,0.005931,1.77E+12,shentuvaloper19q32eg8lu36xyqe3rfp85t6jwnymrjnsjxw8q0,5720,5830,5766,0.98092265,63,
shentuvaloper19x3s23x9hvp98rdgrl6mnec8h5hy7zmnx7467v,Snow Fall,0.05,29,266396,0.005882,1.77E+12,shentuvaloper19x3s23x9hvp98rdgrl6mnec8h5hy7zmnx7467v,5717,5828,5764,0.98074254,94,
shentuvaloper1h9jylw5wrna0w8rlj8qcj8a3x05pht3uny9ryt,Topstake,0.1,30,263023,0.005808,1.77E+12,shentuvaloper1h9jylw5wrna0w8rlj8qcj8a3x05pht3uny9ryt,5718,5825,5763,0.981433281,71,
shentuvaloper1nj59qd5h9tt4r0k40twj5ptp9f7xsmg0ez2vwu,Yurbason,0.15,31,255705,0.005646,1.77E+12,shentuvaloper1nj59qd5h9tt4r0k40twj5ptp9f7xsmg0ez2vwu,5717,5826,5763,0.98108624,64,
shentuvaloper1ltwg39j75vkx06prtd9gaug25qgkv29xr9femj,StakeUp,0.2,32,254521,0.00562,1.77E+12,shentuvaloper1ltwg39j75vkx06prtd9gaug25qgkv29xr9femj,5721,5829,5767,0.981272759,4,
shentuvaloper1zzgmgcq8m3hynpf9trxmpj5w5qzg9wsmgzgf75,SyaNodes,0.2,33,248441,0.005486,1.77E+12,shentuvaloper1zzgmgcq8m3hynpf9trxmpj5w5qzg9wsmgzgf75,5719,5828.5,5765,0.981006071,4,
shentuvaloper1524p4k5yxs22ulw3jppjt0jtrhffj6hq6lg56x,agrestus,0.1,34,246158,0.005436,1.77E+12,shentuvaloper1524p4k5yxs22ulw3jppjt0jtrhffj6hq6lg56x,5718,5828,5764,0.980916031,71,
shentuvaloper1lrzxwu4dmy8030waevcpft7rpxjjz26c3jv9w9,node101,0.05,35,245430,0.005419,1.77E+12,shentuvaloper1lrzxwu4dmy8030waevcpft7rpxjjz26c3jv9w9,5717,5824,5763,0.981433281,94,
shentuvaloper1422gjxp0c343u0lypp728c48txuas8d2pknm82,OranG3cluB,0.2,36,244354,0.005396,1.77E+12,shentuvaloper1422gjxp0c343u0lypp728c48txuas8d2pknm82,5717,5825,5762,0.981256508,4,
shentuvaloper18grwhfspu435yw64dr077yws0am7y7knngh7cd,Anonstake,0.1,37,240823,0.005318,1.77E+12,shentuvaloper18grwhfspu435yw64dr077yws0am7y7knngh7cd,5716,5826,5762,0.980909406,71,
shentuvaloper1cn52t08yjvmxtfzzyvpyz0uz5tfnjkau6xne79,owlstake,0.19,38,238401,0.005264,1.77E+12,shentuvaloper1cn52t08yjvmxtfzzyvpyz0uz5tfnjkau6xne79,5719,5824,5765,0.981786644,56,
shentuvaloper1sqr3wnz7aujx8mpmydmdypuaafpvrgtsj50z02,AlxVoy ANODETEAM,0.15,39,236860,0.00523,1.77E+12,shentuvaloper1sqr3wnz7aujx8mpmydmdypuaafpvrgtsj50z02,5718,5830,5764,0.980569049,64,
shentuvaloper105d334nty5u38wc9scsz8659ucrhs2zjufxwh0,PoS Node,0.05,40,236223,0.005216,1.77E+12,shentuvaloper105d334nty5u38wc9scsz8659ucrhs2zjufxwh0,5718,5824,5763,0.981606802,94,
shentuvaloper1ta0ndyfue8dffhwxdmznkwmqssavsvpfxctths,LexPrime,0.14,41,235662,0.005204,1.77E+12,shentuvaloper1ta0ndyfue8dffhwxdmznkwmqssavsvpfxctths,5721,5828,5766,0.981442941,68,
shentuvaloper1y6rsppgz9wwp83y906grhfq7gynshxknkd8q30,Cosmonaut Stakes,0.2,42,235231,0.005194,1.77E+12,shentuvaloper1y6rsppgz9wwp83y906grhfq7gynshxknkd8q30,5717,5830,5765,0.980398959,4,
shentuvaloper1xcyhwqussp9u6ul272ugfnqpq044m302fk55hv,ValidatorVN,0.2,43,232001,0.005123,1.77E+12,shentuvaloper1xcyhwqussp9u6ul272ugfnqpq044m302fk55hv,5719.5,5827,5766,0.981356226,4,
shentuvaloper1d2x7lqmlduuu9zn76ewks8mv7f69xwq7txhg3v,Nodeasycom,0.1,44,232001,0.005123,1.77E+12,shentuvaloper1d2x7lqmlduuu9zn76ewks8mv7f69xwq7txhg3v,5715,5810,5760,0.983506944,71,
shentuvaloper1k5t5cvx4dr6z70a3pz2kpa4gfu4nc8swfqe6wr,vas,0.15,45,224001,0.004946,1.77E+12,shentuvaloper1k5t5cvx4dr6z70a3pz2kpa4gfu4nc8swfqe6wr,5718,5830,5764,0.980569049,64,
shentuvaloper13ne32hkgeq7cz5mrhvedtavvvu7snv254yjhce,OtterSync,0.03,46,221167,0.004884,1.77E+12,shentuvaloper13ne32hkgeq7cz5mrhvedtavvvu7snv254yjhce,5717,5828,5764,0.98074254,105,
shentuvaloper1036rphfnyw49fzm5ajfud743j2qutlk9v8lgp2,web34ever,0.199,47,220102,0.00486,1.77E+12,shentuvaloper1036rphfnyw49fzm5ajfud743j2qutlk9v8lgp2,5717,5830,5764,0.980395559,54,
shentuvaloper14xy2wmrkwr43yjfnlpme24cu8r82nmpaf9g2ca,BlackBlocks,0.2,48,217602,0.004805,1.77E+12,shentuvaloper14xy2wmrkwr43yjfnlpme24cu8r82nmpaf9g2ca,5721,5829,5768,0.981276006,4,
shentuvaloper1hqxy2ra9qn8a9mxjc3m09s2cvqa4f7ax05ahnh,sebytza05,0.2,49,216007,0.00477,1.77E+12,shentuvaloper1hqxy2ra9qn8a9mxjc3m09s2cvqa4f7ax05ahnh,5720,5828,5767,0.981272759,4,
shentuvaloper1ppeu2c9nkkptmhu2vxmwt2pjfyvn4pwllup8wu,Kleomedes,0.2,50,214571,0.004738,1.77E+12,shentuvaloper1ppeu2c9nkkptmhu2vxmwt2pjfyvn4pwllup8wu,5717,5830,5764.5,0.980397259,4,
shentuvaloper1l2s8e4mjana50tx9g66kfsqwgwjy6jlv38zczz,stake2earn,0.2,51,212802,0.004699,1.77E+12,shentuvaloper1l2s8e4mjana50tx9g66kfsqwgwjy6jlv38zczz,5720,5828,5766,0.981269511,4,
shentuvaloper1jhj3pf7psypvz7v3smxeu45xuljkqmqy35hzdy,Blockval 0 fees Restake,0.01,52,211438,0.004669,1.77E+12,shentuvaloper1jhj3pf7psypvz7v3smxeu45xuljkqmqy35hzdy,5718,5829,5765,0.98074588,107,
shentuvaloper1hdppnugsdkcavt5rms0874dmpy46xzyjyhvtj7,johndoe,0.2,53,208906,0.004613,1.77E+12,shentuvaloper1hdppnugsdkcavt5rms0874dmpy46xzyjyhvtj7,5719,5826,5764,0.981436502,4,
shentuvaloper1hxy0eylmuptdywkw69x867jdd0wn94yyclvtqe,airocket,0.19,54,208001,0.004593,1.77E+12,shentuvaloper1hxy0eylmuptdywkw69x867jdd0wn94yyclvtqe,5720,5831,5766,0.98074922,56,
shentuvaloper1r2cfuygnrr9a7plmnh7r5p9ueqsv6jh2m5yp9q,Kynraze,0.2,55,206410,0.004558,1.77E+12,shentuvaloper1r2cfuygnrr9a7plmnh7r5p9ueqsv6jh2m5yp9q,5719,5827,5766,0.981269511,4,
shentuvaloper1sxj2lvktwh7298m863lrnym242tglekj6k54y7,gogo,0.2,56,205147,0.00453,1.77E+12,shentuvaloper1sxj2lvktwh7298m863lrnym242tglekj6k54y7,5719,5828,5764,0.981089521,4,
shentuvaloper1jrwns20hv4av72qm6dzr96t7g8us0peeqzv88c,Validator247,0.2,57,203206,0.004487,1.77E+12,shentuvaloper1jrwns20hv4av72qm6dzr96t7g8us0peeqzv88c,5718,5827,5764,0.981089521,4,
shentuvaloper1pxc959dx3xgez3c9vtr8upctrrjj7p2j24evpc,MotherTech,0.2,60,196811,0.004346,1.77E+12,shentuvaloper1pxc959dx3xgez3c9vtr8upctrrjj7p2j24evpc,5718,5828,5766,0.98092265,4,
shentuvaloper13q0kk99gqu503637lq23y5aedwp0dv8pccrnjm,Oldcat,0.1,61,194582,0.004297,1.77E+12,shentuvaloper13q0kk99gqu503637lq23y5aedwp0dv8pccrnjm,5718,5825,5763,0.981433281,71,
shentuvaloper1ycv93gthzwgeyq8mckvqmznq60e3gmesrsllwe,VALIDARIOS,0.19,62,193790,0.004279,1.77E+12,shentuvaloper1ycv93gthzwgeyq8mckvqmznq60e3gmesrsllwe,5717,5827,5763,0.980912719,56,
shentuvaloper16l9wuh0dlzqcu3glaq8rgpj0qt07nu0r7zv8kk,NITAWA,0.2,63,192993,0.004262,1.77E+12,shentuvaloper16l9wuh0dlzqcu3glaq8rgpj0qt07nu0r7zv8kk,5716,5828,5764,0.980569049,4,
shentuvaloper14al24th3wpee4pymq6gsx6gh4e4ujhw7rxl70k,Consensus One,0.05,64,188779,0.004169,1.77E+12,shentuvaloper14al24th3wpee4pymq6gsx6gh4e4ujhw7rxl70k,5716,5826,5763,0.980912719,94,
shentuvaloper1duztmfdn28n8swwkh0uzx6e4vr8uq5r27q5k3m,Bit Cat,0.1,65,187668,0.004144,1.77E+12,shentuvaloper1duztmfdn28n8swwkh0uzx6e4vr8uq5r27q5k3m,5718,5829.5,5764,0.980655795,71,
shentuvaloper1x27wysrlnppmmwhjeg8evu873fyvvu9zry7365,Seasting,0.1,66,187039,0.00413,1.77E+12,shentuvaloper1x27wysrlnppmmwhjeg8evu873fyvvu9zry7365,5719,5827,5765,0.981266262,71,
shentuvaloper1sy76p9e9lnxn7a46ukpxtrzj7mjnc5j0fvkjx7,The Chicken Coop Homestead,0.1944,67,184030,0.004064,1.77E+12,shentuvaloper1sy76p9e9lnxn7a46ukpxtrzj7mjnc5j0fvkjx7,5719,5826.5,5763,0.981346521,55,
shentuvaloper16kctxuen3x2avvjj2mdwsl6g8n7d4vjk9up9tq,Badger Bite,0.07,68,182088,0.004021,1.77E+12,shentuvaloper16kctxuen3x2avvjj2mdwsl6g8n7d4vjk9up9tq,5718,5824.5,5766,0.981529657,92,
shentuvaloper1ypvul5pn2qga0pprelr2rcslytgg5jw77zep5e,Binnostake,0.1,69,180885,0.003994,1.77E+12,shentuvaloper1ypvul5pn2qga0pprelr2rcslytgg5jw77zep5e,5715,5826,5761,0.980732512,71,
shentuvaloper1jrnns3nkkrzu7qn5xel088488jv6jmuafm2vdh,Shazoes,0.2,70,176090,0.003888,1.77E+12,shentuvaloper1jrnns3nkkrzu7qn5xel088488jv6jmuafm2vdh,5716,5828,5765,0.98057242,4,
shentuvaloper1j8jsjc9vsefsyqjk96k6xskvy54kzeytne3t78,LuckyResearch Labs,0.2,71,174403,0.003851,1.77E+12,shentuvaloper1j8jsjc9vsefsyqjk96k6xskvy54kzeytne3t78,5719,5829,5764,0.980916031,4,
shentuvaloper17phrhmkpug3vjdfepwdeuu7uamctlm87ah49kz,OrionX,0.2,72,172942,0.003819,1.77E+12,shentuvaloper17phrhmkpug3vjdfepwdeuu7uamctlm87ah49kz,5719,5834.5,5768,0.979975728,4,
shentuvaloper1m8qkqhmymvq5a8a6wfz35g523rx0pqamuuy7zt,testovich,0.2,73,172810,0.003816,1.77E+12,shentuvaloper1m8qkqhmymvq5a8a6wfz35g523rx0pqamuuy7zt,5717,5826,5764,0.981089521,4,
shentuvaloper1lnegpma68sykwdd04npah5lpuacxtj8wyk3p7a,ZenQQQ,0.19,74,172803,0.003816,1.77E+12,shentuvaloper1lnegpma68sykwdd04npah5lpuacxtj8wyk3p7a,5717,5833,5765,0.979878578,56,
shentuvaloper1etqwldwm5lzxwm9dnu9kps9cur5eqeddfnhklx,snegkovka5C54178B996FF5D2,0.2,75,170681,0.003769,1.77E+12,shentuvaloper1etqwldwm5lzxwm9dnu9kps9cur5eqeddfnhklx,5718,5826,5764,0.981263012,4,
shentuvaloper1l3zvcvlvfl6wvdqu6tpzdexk9e8vcv5qvkq2rg,gCrypto90,0.2,76,166401,0.003674,1.77E+12,shentuvaloper1l3zvcvlvfl6wvdqu6tpzdexk9e8vcv5qvkq2rg,5718,5824,5763,0.981606802,4,
shentuvaloper1nf2a5thtp4xaceg9jqlkhvcyzcck5507eg6yrm,Chainnodes,0.2,77,162237,0.003582,1.77E+12,shentuvaloper1nf2a5thtp4xaceg9jqlkhvcyzcck5507eg6yrm,5718.5,5828,5765,0.981006071,4,
shentuvaloper19vrsjqgtyucv6eqekjcwvlqdqekxm299cc8aur,JOHNEE,0.049,78,158865,0.003508,1.77E+12,shentuvaloper19vrsjqgtyucv6eqekjcwvlqdqekxm299cc8aur,5717,5829,5764,0.980569049,104,
shentuvaloper12kmuarzu04f3fm39pcxqnv9fczdu37zrpn2t95,blxpro,0.1,79,158061,0.00349,1.77E+12,shentuvaloper12kmuarzu04f3fm39pcxqnv9fczdu37zrpn2t95,5718,5828,5765,0.980919341,71,
shentuvaloper1xfan5wrj9xy2z92kln8t3aa9r46jpm5nc668gk,Vixello,0.05,80,156827,0.003463,1.77E+12,shentuvaloper1xfan5wrj9xy2z92kln8t3aa9r46jpm5nc668gk,5709,5810,5752,0.98244089,94,
shentuvaloper1hdutpn340l29gwl3nyrkxwfdyu8q96zwyu2x2e,ChainodeTech,0.15,81,153601,0.003392,1.77E+12,shentuvaloper1hdutpn340l29gwl3nyrkxwfdyu8q96zwyu2x2e,5716,5827,5763,0.980739198,64,
shentuvaloper15tyhytr4ndptz5v8nxh9suftvzcfuyj5ucm036,Gryx,0.12,82,152336,0.003364,1.77E+12,shentuvaloper15tyhytr4ndptz5v8nxh9suftvzcfuyj5ucm036,5715,5823,5760,0.98125,69,
shentuvaloper18pwdhgxmuzw3fdyek8hzxdc2cw280vxsr3pazc,SapphireNode,0.2,83,152010,0.003357,1.77E+12,shentuvaloper18pwdhgxmuzw3fdyek8hzxdc2cw280vxsr3pazc,5719,5832,5766,0.980402359,4,
shentuvaloper1gtyevmtqymumuwlp2wm5w6hjczpvup3aum6d3s,Quebec,0.05,84,151345,0.003342,1.77E+12,shentuvaloper1gtyevmtqymumuwlp2wm5w6hjczpvup3aum6d3s,5716,5827,5763,0.980739198,94,
shentuvaloper1ysupsv4csulrmen48s8d8hwfy99m798w6megly,MaxFoton nodes,0.07,85,150257,0.003318,1.77E+12,shentuvaloper1ysupsv4csulrmen48s8d8hwfy99m798w6megly,5719,5829.5,5767,0.980839258,92,
shentuvaloper1q0x90n8z3gwj5xv442afjuw8w8l59shd0rzc25,SlSub,0.2,86,150013,0.003313,1.77E+12,shentuvaloper1q0x90n8z3gwj5xv442afjuw8w8l59shd0rzc25,5717,5828,5765,0.98074588,4,
shentuvaloper10r25h3042qapanlyjk2a6qwj9a59pvw08vu8nw,morkiestakes,0,87,149806,0.003308,1.77E+12,shentuvaloper10r25h3042qapanlyjk2a6qwj9a59pvw08vu8nw,5719,5830,5765,0.98074588,111,
shentuvaloper1gt5wvgjekaflaadzj9amjwxy9y0y0wd79f0wug,ShentuDefender,0.2,88,148975,0.00329,1.77E+12,shentuvaloper1gt5wvgjekaflaadzj9amjwxy9y0y0wd79f0wug,5716,5825,5762,0.981082957,4,
shentuvaloper10sv5pjze703006767hh52jqlkamqe7vnygagc5,Cryptonian Autocompound,0.05,89,144923,0.0032,1.77E+12,shentuvaloper10sv5pjze703006767hh52jqlkamqe7vnygagc5,5718,5828,5764,0.980916031,94,
shentuvaloper1yq8a2ksa7dz8wd8wlks3k8nqdmht76xdkmqzxv,cyberG,0.19,90,143239,0.003163,1.77E+12,shentuvaloper1yq8a2ksa7dz8wd8wlks3k8nqdmht76xdkmqzxv,5718,5832,5767,0.980232357,56,
shentuvaloper176x7ljeyxx2cevmp7uayaz9qcx37nwjjm9f5mr,Army IDs,0.2,91,137930,0.003046,1.77E+12,shentuvaloper176x7ljeyxx2cevmp7uayaz9qcx37nwjjm9f5mr,5714,5828,5763,0.980218636,4,
shentuvaloper14nx4jgv0m20ma3w7jkxl697j8xx77ffmnw4ldw,mandezir,0.2,92,137901,0.003045,1.77E+12,shentuvaloper14nx4jgv0m20ma3w7jkxl697j8xx77ffmnw4ldw,5719,5827,5766,0.981269511,4,
shentuvaloper10u5dgyhkqe0qwfmektrp8uy6ssawtkrrj27a9u,fishinwarter,0.2,93,136101,0.003005,1.77E+12,shentuvaloper10u5dgyhkqe0qwfmektrp8uy6ssawtkrrj27a9u,5719,5832,5768,0.980409154,4,
shentuvaloper1p4ez0qspkjpcz3l6hyhq3uuezcgyl2j9j98yaw,tanzmann,0.2,94,135101,0.002983,1.77E+12,shentuvaloper1p4ez0qspkjpcz3l6hyhq3uuezcgyl2j9j98yaw,5718,5830.5,5766,0.980489074,4,
shentuvaloper12zmyrggz36cstml5v30ysn2q58xpfay7gwezf9,smert,0.19,95,129602,0.002862,1.77E+12,shentuvaloper12zmyrggz36cstml5v30ysn2q58xpfay7gwezf9,5717,5827,5764,0.980916031,56,
shentuvaloper1dd9gze5wc9lqu9ht6qppmzudgad7su99vjs8nr,deftonena,0.2,96,127301,0.002811,1.77E+12,shentuvaloper1dd9gze5wc9lqu9ht6qppmzudgad7su99vjs8nr,5719,5831,5765,0.98057242,4,
shentuvaloper1rlwftpht32qvwcra6my36azth26sa7gdl3cgdj,Perfect Stake,0.2,97,124801,0.002756,1.77E+12,shentuvaloper1rlwftpht32qvwcra6my36azth26sa7gdl3cgdj,5719,5839,5769,0.979199168,4,
shentuvaloper1vrykh69jj7z04y3dprcr25fwnh05qrvkjm0a7q,instupendo,0.2,98,120851,0.002669,1.77E+12,shentuvaloper1vrykh69jj7z04y3dprcr25fwnh05qrvkjm0a7q,5719,5830,5767,0.980752558,4,
shentuvaloper1cyasdhcahc60sawtvecjwyumh3uh98mzxm4kr8,Alex Bambarello Validator,0.2,99,118406,0.002615,1.77E+12,shentuvaloper1cyasdhcahc60sawtvecjwyumh3uh98mzxm4kr8,5719.5,5830,5768,0.98084258,4,
shentuvaloper1l08gcs8melp893ztdsfdv6ag2phha2wwjqmg7q,amadey,0.2,100,117751,0.0026,1.77E+12,shentuvaloper1l08gcs8melp893ztdsfdv6ag2phha2wwjqmg7q,5717,5831,5766,0.980228928,4,
shentuvaloper1zwy37zs8pxepmrmtjexta7f9e6k9w70cn3dqcu,cuconoid,0.2,101,116701,0.002577,1.77E+12,shentuvaloper1zwy37zs8pxepmrmtjexta7f9e6k9w70cn3dqcu,5720,5832,5768,0.980582524,4,
shentuvaloper1e4slnwwa7tr0ywmd87tp3f6574tp5jlepvy2kc,riobo,0.2,102,115801,0.002557,1.77E+12,shentuvaloper1e4slnwwa7tr0ywmd87tp3f6574tp5jlepvy2kc,5720,5832,5769,0.98058589,4,
shentuvaloper19lgwcu692dtrpjja67j4tdp5ye8vgd3wfd6s4w,CryptoNet,0.2,103,106867,0.00236,1.77E+12,shentuvaloper19lgwcu692dtrpjja67j4tdp5ye8vgd3wfd6s4w,5720,5826,5765,0.981613183,4,
shentuvaloper1sjq3sxz55eqs4jfvmgaw4p5j5xzwwdwv8puccu,Interstellr,0,104,100613,0.002222,1.77E+12,shentuvaloper1sjq3sxz55eqs4jfvmgaw4p5j5xzwwdwv8puccu,5733,5845,5785,0.980639585,111,
shentuvaloper1qxrnw3psx4kpgfgmp2ll2cervx7u5lpahenzal,OWALLET,0.01,105,100127,0.002211,1.77E+12,shentuvaloper1qxrnw3psx4kpgfgmp2ll2cervx7u5lpahenzal,5719,5830,5765,0.98074588,107,
shentuvaloper15n0g5cg3pxngluknaytsskxpup9q9zge0ntvwh,Skalp4BLOCKTEAM,0.2,107,91201,0.002014,1.77E+12,shentuvaloper15n0g5cg3pxngluknaytsskxpup9q9zge0ntvwh,5722,5834,5771,0.980592618,4,
shentuvaloper1wgp8nuwyfrn83stlgrqmcfmrjxg8lpjrxc2930,YTWOFUND,0.075,109,88789,0.001961,1.77E+12,shentuvaloper1wgp8nuwyfrn83stlgrqmcfmrjxg8lpjrxc2930,5731.5,5838,5788,0.981599862,91,
shentuvaloper1k7sjdr27evwgj36u08uprtfmjndz0mqlmfq898,Node39TOP,0.2,111,70059,0.001547,1.77E+12,shentuvaloper1k7sjdr27evwgj36u08uprtfmjndz0mqlmfq898,5719,5833,5767,0.980232357,4,
shentuvaloper18fa7lgnhr9v27vxqgxz5aa7r8mzmhe6v2wet49,ramuchitech,0.2,113,51086,0.001128,1.77E+12,shentuvaloper18fa7lgnhr9v27vxqgxz5aa7r8mzmhe6v2wet49,5719,5830.5,5766,0.980662504,4,
shentuvaloper1czjjrvwe6ue32s0aqkazlsg6rkk49cny3fa34l,SolidOne,0.12,114,50022,0.001105,1.77E+12,shentuvaloper1czjjrvwe6ue32s0aqkazlsg6rkk49cny3fa34l,5720,5830,5770,0.980935875,69,
shentuvaloper14vzc8a8ed53yu408fxg9cunkktt84kmv37h5x8,StakeBowlNode,1,114,50023,0.001105,1.77E+12,shentuvaloper14vzc8a8ed53yu408fxg9cunkktt84kmv37h5x8,5721,5831,5766,0.98092265,1,
shentuvaloper1td0vexr62t97pd6zdg0uarde8eljjx0zfffa70,NodeSphere,0.19,114,25001,0.000552,1.77E+12,shentuvaloper1td0vexr62t97pd6zdg0uarde8eljjx0zfffa70,5718.5,5839,5770,0.979116118,56,
