,address,moniker,commission,rank,token,votingPower,timestamp,a,validatorAddress,q1,q3,median,,
O,osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,NosNode,0.05,55,1820826,0.006841,1.76455E+12,56,osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,997,1126,1050,,
O,osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,Chainflow,0.05,56,1777821,0.006679,1.76455E+12,57,osmovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w37wr9t,995,1119,1045,,
O,osmovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w37wr9t,Frens ,0.1,57,1752446,0.006584,1.76455E+12,59,osmovaloper10rsjwrcj7maz4f0l8dh3smjd022n9ya8ycuyg7,1001,1121,1049,,
,osmovaloper1q4mlwtw3ncve72na65xacck557wcknc8j0lmke,CoinbaseShuttingDown,0.1,58,1750656,0.006577,1.76455E+12,60,osmovaloper1lfn5ywlunadd3fl8lcem05ew7vezns2kx06pf0,1047,1159,1086,,
O,osmovaloper10rsjwrcj7maz4f0l8dh3smjd022n9ya8ycuyg7,Active Nodes,0.05,59,1730090,0.0065,1.76455E+12,61,osmovaloper1f6wx6r7567wu5j4ysskshkmsrk29sme97x25ca,998,1123,1050,,
O,osmovaloper1lfn5ywlunadd3fl8lcem05ew7vezns2kx06pf0,nonce community  Please Undelegate,0.05,60,1555041,0.005842,1.76455E+12,62,osmovaloper16q8xd335y38xk2ul67mjg27vdnrcnklt4wx6kt,1020,1132,1062,,
O,osmovaloper1f6wx6r7567wu5j4ysskshkmsrk29sme97x25ca,Crypto Assassin,0.05,61,1537498,0.005776,1.76455E+12,63,osmovaloper1rtlg9jnlezwg83eep5zu25sfxndgud5aeqjld4,990,1112,1042,,
O,osmovaloper16q8xd335y38xk2ul67mjg27vdnrcnklt4wx6kt,StakeLabzone,0.05,62,1440913,0.005414,1.76455E+12,64,osmovaloper1zlymlax05tg9km9jyw496jx60v86m454a3xf3m,1005,1125,1056,,
O,osmovaloper1rtlg9jnlezwg83eep5zu25sfxndgud5aeqjld4,Xilodyne,0.05,63,1435964,0.005395,1.76455E+12,65,osmovaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qk5wjn0s,990,1113,1041,,
O,osmovaloper1zlymlax05tg9km9jyw496jx60v86m454a3xf3m,Larry Engineer,0.05,64,1401437,0.005265,1.76455E+12,66,osmovaloper1gr73xk8gmn3gdyx4cqf5s4hmkxwcgkq8lx8xwv,993,1114,1044,,
O,osmovaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qk5wjn0s,Nodeify,0.05,65,1364246,0.005126,1.76455E+12,67,osmovaloper1pxphtfhqnx9ny27d53z4052e3r76e7qq495ehm,992,1115,1043,,
O,osmovaloper1gr73xk8gmn3gdyx4cqf5s4hmkxwcgkq8lx8xwv,Chainscope,0.05,66,1303542,0.004897,1.76455E+12,68,osmovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww24nrlnx,1002,1120,1052,,
O,osmovaloper1pxphtfhqnx9ny27d53z4052e3r76e7qq495ehm, AutoStake  Slash Protected,0.05,67,1299505,0.004882,1.76455E+12,70,osmovaloper1tf7wjthwt9mgywqvjdkj974rp5awzzm43ddhlp,996,1120,1047,,
O,osmovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww24nrlnx,Swiss Staking,0.05,68,1193086,0.004482,1.76455E+12,71,osmovaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98gfer6u,992,1116,1043,,
,osmovaloper1l38793cjjks9k70wkxdq7w3auhjmqu9s9l4njy,Manythings,0.1,69,1139030,0.004279,1.76455E+12,72,osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,1002,1117,1049,,
O,osmovaloper1tf7wjthwt9mgywqvjdkj974rp5awzzm43ddhlp,Booga Beras,0.05,70,1100032,0.004133,1.76455E+12,73,osmovaloper1lmxrexaxuc7ealq4wqdgzrczajhhrenrdlhxha,931,1080,1004,,
O,osmovaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98gfer6u,Kahuna,0.05,71,1095872,0.004117,1.76455E+12,74,osmovaloper19v94c3z7ckarwsum76kaagma0wqsqhh54xucdk,990,1115,1043,,
O,osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,0basevc,0.05,72,1058071,0.003975,1.76455E+12,75,osmovaloper12vmqh2phzwuavl50vyfhmcath5lecqxgsc3vdc,991,1117,1043,,
O,osmovaloper1lmxrexaxuc7ealq4wqdgzrczajhhrenrdlhxha,Chiter in Cosmos ,0.05,73,1016314,0.003818,1.76455E+12,76,osmovaloper1xf9zpq5kpxks49cg606tzd8qstaykxgt2vs0d5,998,1119,1048,,
O,osmovaloper19v94c3z7ckarwsum76kaagma0wqsqhh54xucdk,Validatus,0.05,74,964776,0.003625,1.76455E+12,77,osmovaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492vg4hp4,991,1118,1043,,
O,osmovaloper12vmqh2phzwuavl50vyfhmcath5lecqxgsc3vdc,Atlas Staking Autocompound Rewards,0.05,75,911006,0.003423,1.76455E+12,78,osmovaloper1xk23a255qm4kn6gdezr6jm7zmupn23t3pqjjn6,1003,1123,1052,,
O,osmovaloper1xf9zpq5kpxks49cg606tzd8qstaykxgt2vs0d5,ShapeShift DAO,0.05,76,883619,0.00332,1.76455E+12,80,osmovaloper1n56swda49evz92zhcw2xc8esx6kzt8qm62hkep,987,1113,1038,,
O,osmovaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492vg4hp4,Oldcat  airdrop DHK every month,0.05,77,871577,0.003275,1.76455E+12,82,osmovaloper1wgmdcxzp49vjgrqusgcagq6qefk4mtjv5c0k7q,1030,1140,1071,,
O,osmovaloper1xk23a255qm4kn6gdezr6jm7zmupn23t3pqjjn6,Tedcryptoio   TedLotto,0.05,78,774267,0.002909,1.76455E+12,83,osmovaloper1cmqh34lt9d457ajk9g94eg2pswrpr08rxqwsyy,997,1121,1048,,
,osmovaloper15004ysvmqnqzkvt7x6s4cd53flmmvgfv6t4y9y,Interbloc,0.05,79,722890,0.002716,1.76455E+12,85,osmovaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03x7uy20c,1009,1124,1056,,
O,osmovaloper1n56swda49evz92zhcw2xc8esx6kzt8qm62hkep,Tessellated,0.05,80,707511,0.002658,1.76455E+12,86,osmovaloper1kgddca7qj96z0qcxr2c45z73cfl0c75pf37k8l,1004,1121,1051,,
,osmovaloper17mggn4znyeyg25wd7498qxl7r2jhgue8td054x,Please redelegate to 01node new valdiator,0.05,81,704164,0.002646,1.76455E+12,87,osmovaloper1ux0wrpy2gpeteahn8r95xjketyf0nn800ztng4,979,1106,1030,,
O,osmovaloper1wgmdcxzp49vjgrqusgcagq6qefk4mtjv5c0k7q,DO NOT STAKE,0.05,82,701189,0.002634,1.76455E+12,88,osmovaloper1q5xvvmf03dx8amz66ku6z0x4u39f0aphqf42wc,1002.5,1108,1045.5,,
O,osmovaloper1cmqh34lt9d457ajk9g94eg2pswrpr08rxqwsyy,nonce classic,0.1,83,695942,0.002615,1.76455E+12,90,osmovaloper1f7jtv9sd3g9jay64zrydfqh7l3eqdzgs289m8u,997,1119,1044.5,,
,osmovaloper1thsw3n94lzxy0knhss9n554zqp4dnfzx78j7sq,wosmongton,0.05,84,688303,0.002586,1.76455E+12,91,osmovaloper122yaxffys6rmv03nwwkmn3rvr5skzxl9lry2a5,1000,1122,1050,,
O,osmovaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03x7uy20c,iqlusion,0.07,85,664872,0.002498,1.76455E+12,92,osmovaloper1e8zrt3wq2wu854e8kfe0fg2y4rpakql37u0l4uwzv2cv0dng4ntqst76th,1036,1142,1073,,
O,osmovaloper1kgddca7qj96z0qcxr2c45z73cfl0c75pf37k8l,ChainLayer,0.05,86,653202,0.002454,1.76455E+12,93,osmovaloper1md9f5524vtmrn64lyv2pdfn7cnkjkklf44vtjz,1024,1142,1066,,
O,osmovaloper1ux0wrpy2gpeteahn8r95xjketyf0nn800ztng4,Ethernodes,0.05,87,619193,0.002326,1.76455E+12,94,osmovaloper14ts0j42qkpr43a3tgxr7zz6l6zdf7hdes5jpma,1004,1129,1054,,
O,osmovaloper1q5xvvmf03dx8amz66ku6z0x4u39f0aphqf42wc,Shutdown in November  Please redelegate  Meria,0.05,88,616037,0.002314,1.76455E+12,95,osmovaloper13tk45jkxgf7w0nxquup3suwaz2tx483xe832ge,1000,1126,1051,,
,osmovaloper1jvqv650snr7gaee2wsvkx9nf9gwuj946zxa7z4,Please Redelegate,0.05,89,610561,0.002294,1.76455E+12,96,osmovaloper1e893vrtzzp6zyzs80tqg52j2vdckzqrdjrjva5,969.5,1103,1024,,
O,osmovaloper1f7jtv9sd3g9jay64zrydfqh7l3eqdzgs289m8u,Trust Nodes,0.1,90,609339,0.002289,1.76455E+12,98,osmovaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetguct4ddyl,1013,1128,1058,,
O,osmovaloper122yaxffys6rmv03nwwkmn3rvr5skzxl9lry2a5,Stakewollecom 100 Insurance,0.05,91,562594,0.002114,1.76455E+12,99,osmovaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjp38f93,992,1120,1044,,
O,osmovaloper1e8zrt3wq2wu854e8kfe0fg2y4rpakql37u0l4uwzv2cv0dng4ntqst76th,DAO DAO,0.05,92,548701,0.002061,1.76455E+12,100,osmovaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x74vvvdk,1000,1129,1053,,
O,osmovaloper1md9f5524vtmrn64lyv2pdfn7cnkjkklf44vtjz,WhisperNode ,0.05,93,538848,0.002024,1.76455E+12,102,osmovaloper18wkkhsrsw7gwl3z9gn6e25ag3sn0crzp2tp9t0,1007,1129,1055,,
O,osmovaloper14ts0j42qkpr43a3tgxr7zz6l6zdf7hdes5jpma,Obi,0.05,94,513680,0.00193,1.76455E+12,103,osmovaloper13t30u88ehaq3dlp5uzkxmn9u98nrskjyrutvvs,1016,1133,1062,,
O,osmovaloper13tk45jkxgf7w0nxquup3suwaz2tx483xe832ge,BronBro,0.05,95,513429,0.001929,1.76455E+12,104,osmovaloper1rhjvcesshc833dqwdlwskwcjz08gcnxq73dnqc,1016,1134,1061,,
O,osmovaloper1e893vrtzzp6zyzs80tqg52j2vdckzqrdjrjva5,Stake Shark,0.1,96,492714,0.001851,1.76455E+12,105,osmovaloper1s29zkm444lr8u4jjfkrycl9wh8gttwfze230hj,1007,1131,1056,,
,osmovaloper1r2u5q6t6w0wssrk6l66n3t2q3dw2uqny4gj2e3,strangelove,0.05,97,490840,0.001844,1.76455E+12,107,osmovaloper1feh2keupglep6mvxf5c96eulh3puujjryj2h8v,1007,1122,1054,,
O,osmovaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetguct4ddyl,KalpaTech,0.05,98,469144,0.001763,1.76455E+12,109,osmovaloper16j5hsdrcaa6950ks0rf944rgmncukl74cs7yw6,1003,1127,1053,,
O,osmovaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjp38f93,FreshSTAKING,0.069,99,446630,0.001678,1.76455E+12,111,osmovaloper1ddle9tczl87gsvmeva3c48nenyng4n56yscals,1006,1124,1053,,
O,osmovaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x74vvvdk,Cypher Core,0.1,100,441729,0.00166,1.76455E+12,113,osmovaloper1juczud9nep06t0khghvm643hf9usw45r3jxhxn,969,1095,1022,,
,osmovaloper1xaunn3pnvnkkue5unpxgucme5n0fqyzxqwfghe,BeehiveOfficial,0.05,101,419613,0.001577,1.76455E+12,115,osmovaloper1hk64xxqufcdyh627s29mruep8yfmxpuuclacer,998,1112,1045,,
O,osmovaloper18wkkhsrsw7gwl3z9gn6e25ag3sn0crzp2tp9t0,White Marlin Staking,0.05,101,395848,0.001487,1.76455E+12,124,osmovaloper1ta3zed9p4q2ynnpgrw7m63wqd9e4xg2pal6v97,901,1068,976,,
O,osmovaloper13t30u88ehaq3dlp5uzkxmn9u98nrskjyrutvvs,Go,0.075,101,384903,0.001446,1.76455E+12,126,osmovaloper13x4pynlp86prhcmtns742kgsgu7pjtzjz4a3nk,923,1073.5,999,,
O,osmovaloper1rhjvcesshc833dqwdlwskwcjz08gcnxq73dnqc,artifact,0.05,101,370957,0.001394,1.76455E+12,134,osmovaloper1yxg83zcuwfwvyagdzh3a8p45cgqxtrsg2segqf,1030,1147,1071,,
O,osmovaloper1s29zkm444lr8u4jjfkrycl9wh8gttwfze230hj,Silk Nodes,0.05,101,339604,0.001276,1.76455E+12,135,osmovaloper1cwurrzatev9lfkn3ak6hh59t6yc0zy00rzp8yd,917,1078,998.5,,
,osmovaloper1yp8qwkfs964pkg3rge3k6ree2e6lrttgc8aqzn,coinhallorg,0.05,101,320703,0.001205,1.76455E+12,139,osmovaloper1u2wsa88eh738mk35a3cncgu7lc6cqf74jdl50x,1037,1160,1078,,
O,osmovaloper1feh2keupglep6mvxf5c96eulh3puujjryj2h8v,Simply Staking,0.05,101,311734,0.001171,1.76455E+12,140,osmovaloper1h6pv6eymyf40w0xjuuacj3vnu9lxwq8u0nm7uj,1028,1142,1070,,
,osmovaloper10kn8nhlchp3qxdvsvte4zepfkpvlfarp8nk8pf,PLEASE REDELEGATE SUNSETTING,0.05,101,302556,0.001137,1.76455E+12,148,osmovaloper1d5ada26tcd24wltfakqkkdu3656k6n4chnyz8h,898,1057,990.5,,
O,osmovaloper16j5hsdrcaa6950ks0rf944rgmncukl74cs7yw6,SmartNodes,0.05,101,299610,0.001126,1.76455E+12,154,osmovaloper1j7euyj85fv2jugejrktj540emh9353ltnz0lvc,878,1022,977,,
,osmovaloper123nfq6m8f88m4g3sky570unsnk4zng4u6mkmvq,SHUTDOWNSOON,0.05,101,298356,0.001121,1.76455E+12,156,osmovaloper1mt33s7d3mdshunkt37tkugumq3uxfw2wcvrspk,888,1045,973.5,,
O,osmovaloper1ddle9tczl87gsvmeva3c48nenyng4n56yscals,Vitwit Previously Witval,0.05,101,296957,0.001116,1.76455E+12,157,osmovaloper1tm7wyp4wjqfa2txadfxnvmun65mqpz76dxh4du,1006,1118,1051,,
